question_text,expected_answer,bloom_label,complexity_score,technology
"What is the difference between JDK, JRE, and JVM?",JDK (Java Development Kit) contains development tools and JRE. JRE (Java Runtime Environment) contains JVM and libraries needed to run Java applications. JVM (Java Virtual Machine) executes Java bytecode and provides platform independence.,CREATE,7.2,java
What is the main method in Java?,The main method is the entry point of a Java program. It has the signature 'public static void main(String[] args)' and must be present in every executable Java class. The JVM calls this method to start program execution.,REMEMBER,2.2,java
What are the primitive data types in Java?,"Java has 8 primitive data types: byte (1 byte), short (2 bytes), int (4 bytes), long (8 bytes), float (4 bytes), double (8 bytes), char (2 bytes), and boolean (1 bit). These are stored directly in memory and not as objects.",REMEMBER,2.8,java
What is the difference between == and equals() method?,"== compares references (memory addresses) for objects and values for primitives. equals() method compares the actual content/values of objects. For String comparison, use equals() to compare values, not ==.",UNDERSTAND,4.2,java
What is a constructor in Java?,"A constructor is a special method that initializes objects when they are created. It has the same name as the class, no return type, and is called automatically when an object is instantiated using the 'new' keyword.",CREATE,5.7,java
What is method overloading?,"Method overloading allows multiple methods with the same name but different parameters (different number, type, or order). The compiler determines which method to call based on the arguments provided at compile time.",REMEMBER,3.7,java
"What is the difference between String, StringBuilder, and StringBuffer?","String is immutable - creates new objects for modifications. StringBuilder is mutable and not thread-safe, best for single-threaded operations. StringBuffer is mutable and thread-safe but slower due to synchronization.",CREATE,5.7,java
What is static keyword in Java?,"Static keyword creates class-level members that belong to the class rather than instances. Static variables are shared among all instances, static methods can be called without creating objects, and static blocks execute when the class is first loaded.",CREATE,5.7,java
What is final keyword in Java?,"Final keyword restricts modification. Final variables cannot be reassigned, final methods cannot be overridden, and final classes cannot be extended. It ensures immutability and prevents inheritance when needed.",REMEMBER,3.6,java
What is the difference between abstract class and interface?,"Abstract classes can have both abstract and concrete methods, constructors, and instance variables. Interfaces can only have abstract methods (until Java 8), constants, and support multiple inheritance. Java 8+ interfaces can have default and static methods.",CREATE,7.5,java
What is inheritance in Java?,Inheritance allows a class to acquire properties and methods from another class using 'extends' keyword. It promotes code reusability and establishes IS-A relationship. Java supports single inheritance for classes but multiple inheritance through interfaces.,REMEMBER,3.8,java
What is polymorphism in Java?,"Polymorphism allows objects of different classes to be treated as objects of a common base class. It includes method overriding (runtime polymorphism) and method overloading (compile-time polymorphism), enabling flexible and reusable code.",REMEMBER,5.5,java
What is encapsulation in Java?,"Encapsulation bundles data and methods that operate on that data within a single unit (class) and restricts direct access to some components. It's achieved using access modifiers (private, protected, public) and provides data hiding and security.",REMEMBER,4.1,java
What is abstraction in Java?,"Abstraction hides implementation details and shows only essential features to the user. It's achieved through abstract classes and interfaces, allowing users to focus on what an object does rather than how it does it.",APPLY,3.9,java
What is method overriding?,Method overriding allows a subclass to provide a specific implementation of a method already defined in its parent class. It enables runtime polymorphism and requires the same method signature as the parent class method.,REMEMBER,4.2,java
What is super keyword in Java?,"Super keyword refers to the immediate parent class object. It's used to access parent class methods, constructors, and variables when they are overridden or hidden in the child class. Super() calls parent constructor.",APPLY,4.4,java
What is this keyword in Java?,"This keyword refers to the current object instance. It's used to differentiate between instance variables and parameters with the same name, call other constructors in the same class, and pass the current object as a parameter.",APPLY,4.2,java
What is ArrayList in Java?,"ArrayList is a resizable array implementation of the List interface. It provides dynamic arrays that can grow and shrink in size, allows duplicate elements, maintains insertion order, and provides random access to elements.",REMEMBER,3.3,java
